floor_rmse,floor_mae,n_intervals,n_detectors,record,coverage_target
7.7746025264604635,5.1274509803929895,612,6,s1_sit,1.0
6.644667091231183,4.681732580038194,531,6,s1_sit,0.9
6.558402524864531,4.583908045977521,435,6,s1_sit,0.75
5.397131854797874,3.8243727598599486,279,6,s1_sit,0.5
3.351315134586464,2.7585858585853176,990,6,s2_sit,1.0
3.37443375774848,2.770193401592243,879,6,s2_sit,0.9
3.4627378339023487,2.8353576248310683,741,6,s2_sit,0.75
3.501355976029934,2.8713080168772414,474,6,s2_sit,0.5
6.080163322090595,4.908485856905448,601,6,s3_sit,1.0
6.147193871622113,4.954971857411298,533,6,s3_sit,0.9
6.080140569049786,4.8724373576319735,439,6,s3_sit,0.75
6.07946165499821,4.930656934307617,274,6,s3_sit,0.5
7.164762628964183,5.136764705882076,680,6,s4_sit,1.0
7.048129317636265,5.03171953255392,599,6,s4_sit,0.9
6.732599961405105,4.863543788187082,491,6,s4_sit,0.75
7.152316347805629,4.990066225166619,302,6,s4_sit,0.5
4.563351380748043,3.5588697017273008,637,6,s5_sit,1.0
4.400892766571013,3.4607142857147144,560,6,s5_sit,0.9
4.543663739129952,3.58169934640507,459,6,s5_sit,0.75
4.9819401733798925,3.7380952380940426,294,6,s5_sit,0.5
7.7966763427609775,5.663551401870244,642,6,s6_sit,1.0
7.217515271227604,5.466192170819795,562,6,s6_sit,0.9
7.314294954087817,5.511982570807309,459,6,s6_sit,0.75
7.483763185016025,5.570469798659233,298,6,s6_sit,0.5
6.676914018599917,4.87269372693776,542,6,s7_sit,1.0
6.81460333147576,4.924050632911693,474,6,s7_sit,0.9
8.463400971840935,5.0920716112538065,391,6,s7_sit,0.75
6.095294122662628,4.582329317271997,249,6,s7_sit,0.5
7.821470101462788,3.7998565279779757,697,6,s8_sit,1.0
8.125170438140627,3.653846153846116,598,6,s8_sit,0.9
4.594658539736476,3.211693548386753,496,6,s8_sit,0.75
4.3512933644141905,3.053627760250461,317,6,s8_sit,0.5
24.931863254547952,15.813931297711344,524,6,s9_sit,1.0
22.685846453468038,14.726293103449944,464,6,s9_sit,0.9
23.63920845049232,15.264248704664965,386,6,s9_sit,0.75
25.48486946069269,16.271428571430523,245,6,s9_sit,0.5
3.3727459558039095,2.5481727574771527,602,6,s10_sit,1.0
3.309354988990645,2.504816955686028,519,6,s10_sit,0.9
4.148316623125219,2.611374407585541,422,6,s10_sit,0.75
4.590446837299422,2.6823104693153055,277,6,s10_sit,0.5
8.403132034330236,5.240614334473458,586,6,s11_sit,1.0
7.664123656559556,5.0038986354799935,513,6,s11_sit,0.9
7.231339470074089,4.683574879230228,414,6,s11_sit,0.75
7.7736829790580915,4.746323529415881,272,6,s11_sit,0.5
4.369828410900016,3.238500851788387,587,6,s12_sit,1.0
4.257489118273898,3.1708737864065752,515,6,s12_sit,0.9
3.979062145888248,3.0310262529815244,419,6,s12_sit,0.75
4.2152177685712084,3.2737642585529407,263,6,s12_sit,0.5
10.894312576369257,6.064784053157366,602,6,s13_sit,1.0
10.985158370027712,5.986564299424982,521,6,s13_sit,0.9
11.305821343190114,6.061032863850425,426,6,s13_sit,0.75
13.064365873538097,6.926739926742253,273,6,s13_sit,0.5
19.468444109048814,12.124153498872396,443,6,s14_sit,1.0
16.164837570612875,10.722368421054187,380,6,s14_sit,0.9
15.02548420913177,9.6517571884991,313,6,s14_sit,0.75
11.336897835178446,7.87878787878911,198,6,s14_sit,0.5
14.397588703388264,9.896755162240963,678,6,s15_sit,1.0
14.304883530903053,9.704778156995395,586,6,s15_sit,0.9
13.966007886985041,9.433471933470216,481,6,s15_sit,0.75
14.901267419269649,10.003184713374003,314,6,s15_sit,0.5
15.640082662396614,10.162475822050112,517,6,s16_sit,1.0
12.285462314037506,8.442696629213565,445,6,s16_sit,0.9
12.043970305029243,7.918256130790768,367,6,s16_sit,0.75
11.772328541891913,7.684210526316533,228,6,s16_sit,0.5
5.066863713431511,3.605475040258095,621,6,s17_sit,1.0
4.744095875104342,3.383057090239927,543,6,s17_sit,0.9
4.873107666526965,3.449209932280773,443,6,s17_sit,0.75
3.866011273324088,3.1258992805764336,278,6,s17_sit,0.5
5.509821238596864,3.2593495934975003,615,6,s18_sit,1.0
3.9953590888192094,2.9165120593708482,539,6,s18_sit,0.9
3.817211822103409,2.742663656886078,443,6,s18_sit,0.75
4.241404306300967,2.8216783216786525,286,6,s18_sit,0.5
5.747430988101417,3.8362962962993064,675,6,s19_sit,1.0
5.3819566781690344,3.6528497409352947,579,6,s19_sit,0.9
5.342366563907462,3.664570230610074,477,6,s19_sit,0.75
6.335839103297367,4.043189368773518,301,6,s19_sit,0.5
13.082068947619286,8.829192546582833,644,6,s20_sit,1.0
11.752013505291556,8.39285714285684,560,6,s20_sit,0.9
12.405716612549659,8.733545647558417,471,6,s20_sit,0.75
12.993894062009131,9.149671052632863,304,6,s20_sit,0.5
6.202090542702955,4.97305863708737,631,6,s21_sit,1.0
6.2611062844890135,5.00181488203584,551,6,s21_sit,0.9
6.38919605902522,5.102449888644567,449,6,s21_sit,0.75
6.161282618807833,4.936842105265938,285,6,s21_sit,0.5
6.125905447951554,4.610687022901016,655,6,s22_sit,1.0
6.019712102575812,4.585365853658667,574,6,s22_sit,0.9
5.9835230233278605,4.520169851380626,471,6,s22_sit,0.75
6.097567373047042,4.511475409836827,305,6,s22_sit,0.5
